"Victimisation rates(a), Selected offences by states and territories, 1993–2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offence,1993,1994,1995,1996,1997,1998,1999(b),2000,2001,2002,2003,2004,2005,2006,2007(c),2008(d),2009(e)(f),2010(g)(h),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Manslaughter,0.5,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.2,0.5,0.0,0.0,0.2,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assault(j),np,np,918.1,903.0,930.4,"1,003.6",929.8,"1,030.0","1,083.6","1,094.4","1,052.6",973.8,"1,001.2","1,041.9","1,079.3","1,078.4","1,053.9",977.1,990.7,915.2,910.6,948.8,"1,015.5",991.2,940.5,954.8,922.3,973.1,"1,024.8","1,083.8","1,181.1"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual assault,107.9,101.0,92.6,92.6,82.6,88.1,88.5,97.6,105.0,107.4,121.6,117.4,107.4,97.6,106.7,99.8,97.3,83.8,82.6,80.6,81.3,91.6,93.5,88.8,91.9,92.8,88.4,91.8,100.5,99.7,108.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kidnapping/abduction,5.3,4.9,5.5,2.6,2.4,2.0,2.5,3.1,2.3,2.0,2.2,2.4,2.3,3.9,4.4,3.8,2.5,4.0,4.1,4.7,4.1,4.0,4.8,4.5,3.0,3.7,3.4,2.5,2.3,2.3,2.4
,Western Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homicide and related offences(i),3.0,4.4,4.1,2.7,3.3,3.4,3.0,3.2,2.4,3.4,3.1,3.5,2.8,2.5,2.1,1.9,1.5, 2.5 , 1.8 , 2.3 , 1.9 , 1.4 , 1.9 ,2.4,1.9,2.4,1.7,2.2,1.8,1.8,2.4
Murder,1.6,2.4,2.6,1.1,1.6,1.8,2.1,1.9,1.1,2.0,1.5,1.7,1.1,1.4,1.2,1.3,1.1, 1.3 , 0.8 , 1.2 , 1.4 , 1.2 , 1.0 ,1.1,1.0,1.6,1.0,1.0,0.9,0.9,1.2
